Type,Constant,Constant,Constant,Constant,Constant,Variable,Variable,Variable,Variable,Variable
Value,0.01,0.05,0.1,mu/10,mu/2,0.01,0.05,0.1,mu/10,mu/2
Ex-post+ ($),94,118,105,195,176,102,130,177,245,405
Hierarchical loss,20.4,23.4,23.2,28.8,25.8,20.1,22.9,22.6,31.8,22.7
MAE (kW),0.52,0.49,0.52,0.5,0.53,0.52,0.5,0.52,0.51,0.48
MSE (kW2),0.35,0.32,0.35,0.33,0.37,0.34,0.33,0.35,0.34,0.31
Error mean (kW),-0.08,-0.06,-0.08,-0.17,-0.14,-0.09,-0.09,-0.08,-0.21,-0.07
Error std (kW),0.42,0.43,0.45,0.41,0.39,0.4,0.4,0.45,0.41,0.39
Expected cost ($),37.9,42.7,38.2,32.4,33.5,38.8,39.4,42.5,29.5,44.0
Ex-post cost ($),41.5,41.4,41.5,41.4,41.4,41.6,41.4,41.5,41.5,41.6
Cost error ($),3.6,-1.3,3.2,9.0,7.9,2.8,2.1,-1.0,12.0,-2.4
Temp. Penalty($),31.4,33.0,32.5,33.8,35.3,31.4,30.9,31.7,32.5,33.1
Nb. Epochs,71,35,43,19,63,35,38,49,18,58
Training time,01:08:34,00:39:20,00:47:45,00:20:56,01:46:28,00:36:29,00:41:05,00:55:47,00:20:09,01:31:08
Validation time,01:07:13,00:34:28,00:39:45,00:18:38,00:57:29,00:34:20,00:37:17,00:43:10,00:17:31,00:58:08
Test time,00:00:49,00:01:00,00:00:49,00:01:01,00:00:48,00:01:00,00:00:58,00:00:46,00:00:58,00:01:03
